GID,"Last, First",First  Last,Date,Team,Opp,H/A,GameID,GTime(ET),Team pts,Opp pts,Start,Minutes,GP,active,FDP,DKP,DDP,YHP,Stats,DoubleD,TripleD,FD Sal,FD Change,DK Sal,DK Change,DD Sal,DD Change,YH Sal,YH Change,FD pos,DK pos,DD pos,YH pos
5153,"Mason III, Frank",Frank Mason III,20171201,sac,chi,A,20171201-sac-chi,20,107,106,0,15.73333333,1,1,11.2,12.25,11.5,11.2,5pt 1rb 4as 1to 1trey 1-6fg 2-2ft,0,0,3800,300,3700,700,,,10,0,1,12,,1
5153,"Mason III, Frank",Frank Mason III,20171128,sac,mil,H,20171128-mil-sac,22,87,112,0,24.03333333,1,1,20.9,21.5,20,20.9,8pt 2rb 7as 1st 3to 3-9fg 2-2ft,0,0,3500,0,3000,0,,,10,0,1,12,,1
5153,"Mason III, Frank",Frank Mason III,20171127,sac,gsw,A,20171127-sac-gsw,22.5,110,106,0,24.93333333,1,1,23.6,24.75,24.5,23.6,14pt 3rb 4as 2trey 5-10fg 2-2ft,0,0,3500,-200,3000,0,,,10,0,1,12,,1
5153,"Mason III, Frank",Frank Mason III,20171125,sac,lac,H,20171125-lac-sac,22,95,97,0,9.9,1,1,5.9,7.5,7.5,5.9,5pt 2rb 1as 3to 2-2fg 1-1ft,0,0,3700,400,3000,0,,,10,0,1,12,,1
5153,"Mason III, Frank",Frank Mason III,20171122,sac,lal,H,20171122-lal-sac,22.5,113,102,0,26.16666667,1,1,25.5,27.75,28,25.5,11pt 5rb 7as 2to 2trey 4-7fg 1-1ft,0,0,3300,0,3000,0,,,10,0,1,12,,1
5153,"Mason III, Frank",Frank Mason III,20171120,sac,den,H,20171120-den-sac,22,98,114,0,21.18333333,1,1,24.6,25.25,25.25,24.6,11pt 3rb 6as 1st 2to 1trey 5-7fg,0,0,3300,300,3000,0,,,10,0,1,12,,1
5153,"Mason III, Frank",Frank Mason III,20171118,sac,por,A,20171118-sac-por,22,90,102,0,19.53333333,1,1,15.4,17.5,16.5,15.4,13pt 2rb 2as 3to 1trey 5-10fg 2-3ft,0,0,3000,0,3000,0,,,10,0,1,12,,1
5153,"Mason III, Frank",Frank Mason III,20171117,sac,por,H,20171117-por-sac,22,86,82,0,21.45,1,1,12.1,12.25,11,12.1,4pt 3rb 3as 1-6fg 2-2ft,0,0,3000,0,3000,0,,,10,0,1,12,,1
5153,"Mason III, Frank",Frank Mason III,20171115,sac,atl,A,20171115-sac-atl,19.5,80,126,0,9.516666667,1,1,3.7,4.25,3.75,3.7,2pt 1rb 1as 1to 0-2fg 2-2ft,0,0,3000,0,3000,0,,,10,0,1,12,,1
5153,"Mason III, Frank",Frank Mason III,20171113,sac,was,A,20171113-sac-was,19,92,110,0,0,0,1,0,0,0,0,,0,0,3000,0,3000,0,,,10,0,1,12,,1
5153,"Mason III, Frank",Frank Mason III,20171111,sac,nyk,A,20171111-sac-nyk,20,91,118,0,12.03333333,1,1,11,11,11,11,6pt 2as 1st 1to 1trey 1-2fg 3-4ft,0,0,3000,0,3000,0,,,10,0,1,12,,1
5153,"Mason III, Frank",Frank Mason III,20171109,sac,phi,H,20171109-phi-sac,22,109,108,0,0,0,1,0,0,0,0,,0,0,3000,0,3000,0,,,10,0,1,12,,1
5153,"Mason III, Frank",Frank Mason III,20171107,sac,okc,H,20171107-okc-sac,22,94,86,0,0,0,1,0,0,0,0,,0,0,3000,0,3000,0,,,10,0,1,12,,1
5153,"Mason III, Frank",Frank Mason III,20171104,sac,det,A,20171104-sac-det,19,99,108,0,21.15,1,1,14.2,15.75,14,14.2,7pt 1rb 6as 3to 3-9fg 1-2ft,0,0,3000,0,3000,0,,,10,0,1,12,,1
5153,"Mason III, Frank",Frank Mason III,20171101,sac,bos,A,20171101-sac-bos,19.5,86,113,0,6.983333333,1,1,3.5,4,3.25,3.5,0pt 3as 1to 0-3fg,0,0,3000,0,3000,0,,,10,0,1,12,,1
5153,"Mason III, Frank",Frank Mason III,20171031,sac,ind,A,20171031-sac-ind,19,83,101,0,4.916666667,1,1,8.7,8.75,7.75,8.7,6pt 1rb 1as 2-4fg 2-4ft,0,0,3000,0,3000,0,,,10,0,1,12,,1
5153,"Mason III, Frank",Frank Mason III,20171029,sac,was,H,20171029-was-sac,18,83,110,0,21.63333333,1,1,13.5,14,13.25,13.5,11pt 1as 1st 2to 1trey 5-10fg,0,0,3000,0,3000,0,,,10,0,1,12,,1
5153,"Mason III, Frank",Frank Mason III,20171026,sac,nor,H,20171026-nor-sac,22.5,106,114,0,0,0,1,0,0,0,0,,0,0,3000,0,3000,0,,,10,0,1,12,,1
5153,"Mason III, Frank",Frank Mason III,20171023,sac,pho,A,20171023-sac-pho,22,115,117,0,0,0,1,0,0,0,0,,0,0,3000,0,3000,0,,,10,0,1,12,,1
5153,"Mason III, Frank",Frank Mason III,20171021,sac,den,A,20171021-sac-den,21,79,96,0,17.1,1,1,9.9,11,9.5,9.9,7pt 2rb 1as 1to 1trey 2-9fg 2-3ft,0,0,3000,0,3000,0,,,10,0,1,12,,1
5153,"Mason III, Frank",Frank Mason III,20171020,sac,dal,A,20171020-sac-dal,20.5,93,88,0,0,0,1,0,0,0,0,,0,0,3000,0,3000,0,,,10,0,1,12,,1
5153,"Mason III, Frank",Frank Mason III,20171018,sac,hou,H,20171018-hou-sac,22,100,105,0,0,0,1,0,0,0,0,,0,0,3000,,3000,,,,10,,1,12,,1
3816,"Williams, Louis",Louis Williams,20180128,lac,nor,A,20180128-lac-nor,16,112,103,0,35.43333333,1,1,38.8,39.5,37,38.8,22pt 4rb 6as 2st 3to 2trey 9-22fg 2-3ft,0,0,8600,100,8300,300,,,40,1,2,12,,2
3816,"Williams, Louis",Louis Williams,20180126,lac,mem,A,20180126-lac-mem,20,109,100,0,34.03333333,1,1,70.4,70,70.25,70.4,40pt 2rb 10as 4st 1bl 2to 4trey 12-19fg 12-14ft,1,0,8500,-100,8000,-100,,,39,0,2,12,,2
3816,"Williams, Louis",Louis Williams,20180124,lac,bos,H,20180124-bos-lac,22.5,102,113,0,33,1,1,33.7,34.25,31.25,33.7,20pt 1rb 7as 1st 1bl 4to 1trey 6-18fg 7-9ft,0,0,8600,-600,8100,-400,,,39,0,2,12,,2
3816,"Williams, Louis",Louis Williams,20180122,lac,min,H,20180122-min-lac,22.5,118,126,0,35.63333333,1,1,30.1,33.75,33.25,30.1,20pt 3rb 7as 4to 3trey 8-15fg 1-2ft,0,0,9200,800,8500,100,,,39,1,2,12,,2
3816,"Williams, Louis",Louis Williams,20180120,lac,uta,A,20180120-lac-uta,21,113,125,1,40.01666667,1,1,70.9,65,63.5,70.9,31pt 2rb 7as 10st 3to 2trey 9-21fg 11-11ft,1,0,8400,-500,8400,-300,,,38,1,2,12,,2
3816,"Williams, Louis",Louis Williams,20180117,lac,den,H,20180117-den-lac,22.5,109,104,1,35.98333333,1,1,28.3,30.5,28.25,28.3,17pt 4rb 5as 1st 4to 2trey 6-18fg 3-4ft,0,0,8900,-200,8700,-200,,,37,0,2,12,,2
3816,"Williams, Louis",Louis Williams,20180115,lac,hou,H,20180115-hou-lac,22.5,113,102,1,39.55,1,1,50.1,51.75,51.75,50.1,31pt 3rb 9as 1bl 1to 4trey 12-19fg 3-4ft,0,0,9100,-400,8900,-100,,,37,0,2,12,,2
3816,"Williams, Louis",Louis Williams,20180113,lac,sac,H,20180113-sac-lac,15.5,126,105,1,35.38333333,1,1,40.2,39.25,38.5,40.2,26pt 1rb 2as 4st 2to 4trey 7-17fg 8-9ft,0,0,9500,600,9000,700,,,37,2,2,12,,2
3816,"Williams, Louis",Louis Williams,20180111,lac,sac,A,20180111-lac-sac,22,121,115,1,34.65,1,1,45,46,45,45,30pt 6as 2st 1bl 3to 5trey 10-24fg 5-5ft,0,0,8900,1000,8300,200,,,35,0,2,12,,2
3816,"Williams, Louis",Louis Williams,20180110,lac,gsw,A,20180110-lac-gsw,22.5,125,106,1,35.13333333,1,1,58.9,65,66.25,58.9,50pt 2rb 7as 4to 8trey 16-27fg 10-10ft,0,0,7900,-400,8100,200,,,35,2,2,12,,2
3816,"Williams, Louis",Louis Williams,20180108,lac,atl,H,20180108-atl-lac,22.5,108,107,1,40.78333333,1,1,37.6,42.75,40.5,37.6,34pt 3rb 4as 6to 4trey 12-29fg 6-6ft,0,0,8300,400,7900,300,,,33,-1,2,12,,2
3816,"Williams, Louis",Louis Williams,20180106,lac,gsw,H,20180106-gsw-lac,15.5,105,121,0,24.23333333,1,1,30.9,32.5,31.75,30.9,23pt 2rb 3as 1st 1bl 5to 2trey 7-14fg 7-7ft,0,0,7900,400,7600,400,,,34,1,2,12,,2
3816,"Williams, Louis",Louis Williams,20180104,lac,okc,H,20180104-okc-lac,22.5,117,127,0,31.91666667,1,1,40.6,46.25,45,40.6,26pt 3rb 10as 4to 4trey 8-22fg 6-7ft,1,0,7500,100,7200,-300,,,33,1,2,12,,2
3816,"Williams, Louis",Louis Williams,20180102,lac,mem,H,20180102-mem-lac,22.5,113,105,0,35.61666667,1,1,39.4,43,42.25,39.4,33pt 2rb 6as 5to 2trey 8-15fg 15-15ft,0,0,7400,200,7500,200,,,32,0,2,12,,2
3816,"Williams, Louis",Louis Williams,20171231,lac,cha,H,20171231-cha-lac,19,106,98,0,37.05,1,1,56.4,59,59.5,56.4,40pt 2rb 8as 1st 1to 6trey 12-21fg 10-11ft,0,0,7200,100,7300,-300,,,32,0,2,12,,2
3816,"Williams, Louis",Louis Williams,20171229,lac,lal,A,20171229-lac-lal,22.5,121,106,0,30.53333333,1,1,30.6,32.75,30.75,30.6,23pt 3rb 4as 2to 2trey 4-14fg 13-15ft,0,0,7100,-500,7600,0,,,32,2,2,12,,2
3816,"Williams, Louis",Louis Williams,20171226,lac,sac,H,20171226-sac-lac,22.5,122,95,0,26.66666667,1,1,29.6,31.25,32,29.6,21pt 3rb 2as 1bl 1to 4trey 7-11fg 3-4ft,0,0,7600,600,7600,600,,,30,0,2,12,,2
3816,"Williams, Louis",Louis Williams,20171223,lac,mem,A,20171223-lac-mem,20,112,115,0,34.55,1,1,41.4,44.5,43.5,41.4,36pt 2rb 2as 1bl 3to 5trey 10-23fg 11-12ft,0,0,7000,200,7000,-200,,,30,-1,2,12,,2
3816,"Williams, Louis",Louis Williams,20171222,lac,hou,A,20171222-lac-hou,20,128,118,0,38.65,1,1,52.9,54,54.5,52.9,32pt 2rb 7as 3st 1to 7trey 10-21fg 5-6ft,0,0,6800,-900,7200,-400,,,31,0,2,12,,2
