,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,PTS OFF TO,2nd PTS,FBPs,PITP,OppPTSOFFTO,Opp2ndPTS,OppFBPs,OppPITP,BLKA,PFD,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,%FGA2PT,%FGA3PT,%PTS2PT,%PTS2PTMR,%PTS3PT,%PTSFBPs,%PTSFT,%PTSOffTO,%PTSPITP,2FGM%AST,2FGM%UAST,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST
,Josh Richardson,MIA,24,34,18,16,33.3,12.2,4.6,10.3,45.1,1.6,4.8,34.4,1.3,1.5,82.7,0.8,2.6,3.3,2.2,2,1.2,0.8,2.8,23.7,0,0,0.5,1.7,0.8,0.9,3.5,11,8.4,6.1,29.5,0.5,2,102.8,102.7,0.1,10.4,1.13,14.7,2.6,8.7,5.7,13,53.1,55.6,17.6,97.25,7.20,53.4,46.6,49.2,20.2,40.5,7.5,10.4,13.7,28.9,34.3,65.7,98.2,1.8,57,43
,Avery Bradley,DET,27,28,15,13,31.3,15.7,5.9,13.8,42.5,1.9,4.6,41.4,2.1,2.5,81.7,0.6,1.9,2.4,2,2.4,1.3,0.2,2.1,23.4,0,0,-1.2,3,1.6,1.8,4.9,10,7.3,6.4,28.6,1.3,2.3,103.8,106.9,-3.1,10.3,0.82,10.2,1.9,7.1,4.3,12.4,49.4,52.6,23.9,98.36,7.00,66.8,33.2,50.6,19.1,36.2,11.6,13.2,19.4,31.4,70.3,29.7,92.5,7.5,77.4,22.6
,Al-Farouq Aminu,POR,27,20,8,12,29.6,9.3,3.3,7.9,41.8,2.1,4.7,44.1,0.6,0.8,75,1.2,5.9,7,1.1,1.1,0.8,1,2.1,23.3,2,0,1.7,2,1.4,0.7,2.4,9.5,7.7,6,27.8,0.3,0.9,105.3,103.3,2.1,5.2,1,10.1,4.4,21.5,13.1,10.1,54.7,56,14.1,98.14,9.50,41.1,58.9,27,1.1,66.5,7.6,6.5,21.1,25.9,48,52,95.1,4.9,77.3,22.7
,Dirk Nowitzki,DAL,39,35,10,25,25.4,12,4.5,9.9,46,1.7,4,42.6,1.2,1.3,91.3,0.4,5.1,5.5,1.8,0.9,0.5,0.4,1.7,23.2,1,0,-0.9,0.9,1.1,0.3,1.7,7.7,6.1,8.6,21.4,0.1,1.8,104.9,109,-4.1,11,2.07,13.5,1.9,23.3,12.3,6.5,54.6,57.3,20.4,97.07,11.70,59.2,40.8,47.1,32.9,42.9,2.9,10,7.4,14.3,74.7,25.3,100,0,84.3,15.7
,Jonathon Simmons,ORL,28,35,11,24,28.8,15,5.7,12,47.5,0.9,3,31.7,2.6,3.5,74.2,0.9,2.9,3.8,2.1,2.3,0.7,0.2,2.6,23.2,0,0,-5.3,2.5,1.5,2.2,7.7,11.1,7.8,7.3,29.5,0.8,3.3,101.7,109.8,-8.1,12,0.9,11.7,3.6,11.1,7.3,13,51.4,55.2,24.2,101.78,8.10,75.3,24.7,63.6,12.6,18.9,14.7,17.5,17,51,31.1,68.9,90.9,9.1,41,59
,Joe Ingles,UTA,30,35,15,20,30.5,10.1,3.6,8.1,44,2.5,5.6,43.9,0.5,0.6,77.3,0.3,4.1,4.4,4.1,1.7,1,0.1,2,23.2,0,0,-2.5,1.7,0.5,0.7,2,10.8,7,6,26.9,0.4,1.5,102.5,107.2,-4.7,20.5,2.47,28.9,1,15.8,8.3,11.7,59.2,60.1,15,96.61,10.00,31,69,22.1,2.3,73.1,7.4,4.8,16.4,19.8,38.5,61.5,77.9,22.1,65.6,34.4
,Greg Monroe,PHX,27,18,6,12,21.2,9.9,4.3,7.6,57.4,0,0,0,1.3,1.8,69.7,2.2,5.2,7.4,2.2,1.6,0.6,0.3,1.8,23,4,0,-4.9,1.7,2,0.4,8,8.4,5.3,5.8,21,0.2,1.9,100,110.9,-10.9,17.6,1.34,17.8,11.5,28.5,19.9,13.3,57.4,59.5,20.6,100.43,15.10,100,0,87.2,6.7,0,4.5,12.8,16.8,80.4,52.6,47.4,0,0,52.6,47.4
,Larry Nance Jr.,LAL,25,21,6,15,22,8.3,3.5,6,58.3,0,0.1,0,1.3,2.1,61.4,2.6,4,6.6,1.3,0.9,1.5,0.4,3,23,3,0,-2.6,1.5,2,1.3,6.3,8.2,6.7,5.5,24.7,0.2,2.3,99,104,-5,8.8,1.42,14,11.6,20,15.6,9.9,58.3,59.8,14.8,104.71,11.30,98.4,1.6,84.6,9.1,0,15.4,15.4,18.3,75.4,71.6,28.4,0,0,71.6,28.4
,Jonas Valanciunas,TOR,25,28,21,7,21.1,10.9,4.1,7.6,53.7,0.1,0.4,36.4,2.5,2.9,85.4,2.2,5.6,7.8,0.6,1.4,0.4,0.6,2.6,22.8,6,0,3.2,0.9,2.3,0.3,7,7.7,6.3,5.6,19.1,0.8,2.4,113.6,106.5,7.1,4.6,0.47,5.9,12.9,28.7,21.3,12.4,54.7,60.8,21.2,100.69,12.90,94.9,5.1,73,8.6,3.9,2.3,23,8.2,64.5,58.6,41.4,75,25,59.1,40.9
,Rudy Gay,SAS,31,33,23,10,22.8,11.6,4.4,9.2,48,0.7,2.1,33.8,2.2,2.7,79.8,1.3,3.8,5.1,1.5,1.6,0.8,0.6,1.9,22.7,1,0,2.4,1.4,2,1.1,5.4,7.9,5.2,5.3,19.8,0.4,2.2,105.4,101.8,3.6,10.5,0.91,11,6.3,19.2,12.8,12.2,51.8,56.3,23.2,96.98,12.30,77.5,22.5,63.5,17.2,18,9.4,18.5,12.2,46.4,40.2,59.8,78.3,21.7,46.2,53.8
