,PLAYER,POS,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUSMINUS,2ndPTS,FBPs,PITP,OppPTSOFFTO,Opp2ndPTS,OppFBPs,OppPITP,BLKA,PFD,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,%FGA2PT,%FGA3PT,%PTS2PT,%PTS2PTMR,%PTS3PT,%PTSFBPs,%PTSFT,%PTSOffTO,%PTSPITP,2FGM%AST,2FGM%UAST,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST,PERIPHERAL,Cluster
59,Tyson Chandler,C,PHX,35,26,10,16,25.3,6.8,2.7,4.2,64.8,0.0,0.0,0.0,1.4,2.1,65.5,2.8,6.6,9.4,1.2,1.2,0.4,0.7,2.7,21.7,2,0,-2.8,2.5,0.8,5.3,10.1,7.3,6.9,25.2,0.2,2.3,100.8,107.0,-6.2,6.3,0.97,15.5,11.4,26.8,19.1,16.0,64.8,66.6,10.4,102.33,11.4,100.0,0.0,79.5,1.1,0.0,11.9,20.5,11.4,78.4,67.1,32.9,0.0,0.0,67.1,32.9,14.899999999999999,5
245,Isaiah Canaan,PG,PHX,26,7,5,2,22.0,10.1,2.6,6.7,38.3,1.1,2.9,40.0,3.9,4.0,96.4,0.0,2.3,2.3,4.7,1.7,1.1,0.0,1.4,21.7,0,0,4.3,0.4,2.3,2.6,8.4,6.7,6.1,22.6,0.9,2.6,110.1,100.8,9.2,33.3,2.75,31.6,0.0,10.9,5.8,11.5,46.8,59.8,20.2,99.75,14.1,57.4,42.6,28.2,2.8,33.8,22.5,38.0,16.9,25.4,40.0,60.0,62.5,37.5,50.0,50.0,11.6,4
299,Wesley Matthews,SF,DAL,31,35,10,25,34.4,11.6,4.1,10.6,39.0,2.3,6.1,37.3,1.0,1.3,81.8,0.3,2.8,3.1,2.8,1.5,1.1,0.1,2.2,21.6,0,0,-6.5,1.0,0.9,2.7,10.8,7.7,10.8,30.1,0.4,1.9,101.8,111.5,-9.8,12.6,1.88,18.1,0.9,9.7,5.0,9.6,49.6,51.7,16.9,96.92,6.0,43.0,57.0,32.6,9.4,58.5,7.9,8.9,12.3,23.2,42.4,57.6,88.6,11.4,67.6,32.4,10.000000000000002,2
380,E'Twaun Moore,SG,NOP,28,33,17,16,32.1,13.0,5.4,10.2,53.3,1.8,3.9,46.2,0.4,0.7,52.2,0.8,1.8,2.7,2.0,1.2,1.0,0.1,2.5,21.5,0,0,-1.4,1.5,2.2,5.9,11.8,9.0,10.2,31.2,0.5,0.7,108.6,109.3,-0.7,9.1,1.72,14.8,3.1,6.2,4.7,8.6,62.2,62.1,16.1,101.24,7.2,61.3,38.7,55.3,9.8,41.9,16.5,2.8,19.3,45.6,68.9,31.1,100.0,0.0,79.3,20.7,8.5,2
134,Ersan Ilyasova,PF,ATL,30,22,7,15,24.5,10.7,3.9,8.4,46.5,1.5,3.7,40.7,1.4,1.7,81.6,1.5,3.0,4.5,1.3,0.8,1.0,0.3,2.4,21.4,0,0,-1.5,1.7,1.0,3.5,8.5,8.6,6.0,22.9,0.4,2.5,107.8,108.6,-0.8,7.9,1.65,11.3,7.2,15.2,11.1,6.9,55.4,58.5,18.4,98.16,9.6,56.2,43.8,44.9,12.7,41.9,8.9,13.1,16.5,32.2,90.6,9.4,97.0,3.0,93.0,7.0,10.7,3
362,Danny Green,SG,SAS,30,29,19,10,27.6,8.8,3.4,8.3,40.7,1.7,4.4,37.2,0.4,0.5,73.3,0.5,3.3,3.8,1.8,1.5,1.1,1.2,1.4,21.3,0,0,2.4,0.9,1.1,2.4,8.0,5.6,6.0,23.4,0.2,0.9,104.6,99.7,5.0,9.8,1.2,15.4,1.9,13.0,7.5,12.8,50.6,51.5,16.6,95.1,7.8,46.5,53.5,39.2,11.8,56.5,12.9,4.3,18.8,27.5,62.0,38.0,97.9,2.1,79.6,20.4,12.5,3
350,Buddy Hield,SG,SAC,24,31,11,20,22.9,12.6,4.9,10.8,45.1,2.0,4.4,45.3,0.9,1.0,90.0,0.6,3.0,3.7,1.5,1.6,1.1,0.2,1.7,21.3,0,0,-2.5,0.9,2.1,3.4,7.1,5.6,4.6,19.3,0.8,0.9,100.8,106.0,-5.2,10.8,0.92,10.2,3.2,15.3,9.2,11.1,54.3,56.1,25.5,96.49,11.0,59.1,40.9,45.5,18.9,47.6,16.9,6.9,20.7,26.6,42.7,57.3,80.6,19.4,58.3,41.7,8.700000000000001,6
293,Wilson Chandler,SF,DEN,30,30,16,14,31.0,10.2,3.7,8.8,42.2,1.1,3.4,32.0,1.7,2.0,84.7,1.4,4.0,5.4,2.2,1.4,0.5,0.3,2.1,21.0,2,0,1.6,1.2,1.1,4.7,12.2,6.3,8.2,29.3,0.3,1.6,107.9,104.1,3.9,10.0,1.57,16.6,5.0,14.3,9.7,10.6,48.5,52.8,15.6,98.56,7.3,60.8,39.2,51.1,5.2,32.5,11.1,16.4,18.0,45.9,42.3,57.7,93.9,6.1,57.7,42.3,10.8,3
202,Mike James,PG,NOP,27,32,10,22,20.9,10.4,3.8,9.8,38.8,0.8,3.0,26.8,2.0,2.6,76.2,0.4,2.4,2.8,3.8,1.5,0.8,0.2,1.4,21.0,0,0,-0.9,0.5,1.0,4.8,7.0,6.2,5.8,20.7,0.7,2.0,104.4,106.2,-1.8,27.6,2.45,23.2,1.8,12.1,6.8,9.5,42.9,47.6,24.5,104.9,10.3,68.9,31.1,57.2,10.8,23.5,9.6,19.3,21.4,46.4,8.4,91.6,26.9,73.1,12.4,87.6,10.6,4
123,Trevor Booker,PF,PHI,30,26,9,17,20.5,9.3,3.8,7.3,52.6,0.1,0.5,23.1,1.5,2.3,63.9,2.3,3.9,6.3,1.9,1.5,0.5,0.4,2.0,20.8,4,0,0.5,2.1,0.9,7.0,8.1,6.3,3.4,18.8,0.5,1.9,110.1,108.9,1.1,13.7,1.26,16.1,12.5,20.9,16.7,12.8,53.4,55.8,20.0,103.2,11.2,93.2,6.8,80.2,5.0,3.7,9.9,16.1,19.4,75.2,56.7,43.3,100.0,0.0,58.0,42.0,11.5,1
295,Bojan Bogdanovic,SF,IND,28,34,19,15,31.5,14.1,5.2,10.8,48.2,2.0,4.9,40.5,1.6,1.9,84.8,0.2,2.9,3.2,1.3,1.3,0.7,0.1,1.7,20.8,0,0,-0.1,1.3,3.6,5.1,9.9,8.9,8.2,30.9,0.8,1.8,107.0,105.9,1.1,6.2,1.0,9.3,0.9,10.0,5.6,9.3,57.5,60.3,18.5,99.34,8.3,54.2,45.8,45.6,9.2,42.7,25.5,11.7,17.8,36.4,50.5,49.5,100.0,0.0,69.5,30.5,6.700000000000001,2
210,T.J. McConnell,PG,PHI,25,28,14,14,23.9,7.1,3.1,5.8,52.8,0.5,0.9,50.0,0.5,0.6,82.4,0.6,2.8,3.4,4.7,1.9,1.1,0.3,2.0,20.5,1,0,-1.6,0.8,0.8,3.8,10.8,7.3,5.4,22.3,0.5,0.7,100.9,102.4,-1.6,28.6,2.44,37.0,2.7,11.3,7.2,15.1,56.7,58.4,13.7,106.24,10.6,84.0,16.0,73.4,20.1,19.6,10.6,7.0,11.6,53.3,31.5,68.5,100.0,0.0,41.9,58.1,13.4,4
366,Allen Crabbe,SG,BKN,25,29,10,19,28.7,12.1,4.1,10.3,39.6,2.4,6.6,37.2,1.5,1.8,81.1,0.4,3.6,4.1,1.5,1.2,0.6,0.2,1.8,20.5,0,0,0.4,0.5,1.2,2.0,9.1,7.2,5.3,27.4,0.3,1.4,105.0,105.8,-0.9,7.7,1.23,10.8,1.6,13.4,7.4,8.8,51.5,54.5,17.8,104.3,7.8,35.9,64.1,26.9,10.3,60.9,9.7,12.3,12.6,16.6,78.7,21.3,93.0,7.0,87.3,12.7,8.4,2
209,Milos Teodosic,PG,LAC,30,9,6,3,23.7,8.3,3.0,8.8,34.2,1.7,5.4,30.6,0.7,0.9,75.0,0.7,2.8,3.4,5.1,1.8,0.4,0.2,2.2,20.4,0,0,8.3,0.7,0.7,0.7,4.9,4.8,7.0,18.4,0.3,1.3,109.5,92.1,17.4,30.1,2.88,31.8,2.9,11.3,7.2,11.1,43.7,45.4,20.4,99.54,8.4,38.0,62.0,32.0,24.0,60.0,8.0,8.0,9.3,8.0,33.3,66.7,53.3,46.7,44.4,55.6,12.099999999999998,4
