,PLAYER,POS,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUSMINUS,2ndPTS,FBPs,PITP,OppPTSOFFTO,Opp2ndPTS,OppFBPs,OppPITP,BLKA,PFD,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,%FGA2PT,%FGA3PT,%PTS2PT,%PTS2PTMR,%PTS3PT,%PTSFBPs,%PTSFT,%PTSOffTO,%PTSPITP,2FGM%AST,2FGM%UAST,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST,PERIPHERAL,Cluster
53,Mike Muscala,C,ATL,26,9,1,8,22.4,6.6,2.3,5.7,41.2,0.7,2.1,31.6,1.2,1.3,91.7,1.2,3.2,4.4,1.0,0.9,0.8,0.6,2.6,16.5,1,0,-7.2,1.9,0.2,2.4,10.1,6.0,6.2,20.9,0.1,1.4,91.6,106.3,-14.8,7.3,1.13,12.3,5.4,15.5,10.3,10.9,47.1,52.4,13.7,103.39,7.0,62.7,37.3,50.8,13.6,30.5,3.4,18.6,28.8,37.3,53.3,46.7,100.0,0.0,66.7,33.3,9.9,3
346,Manu Ginobili,SG,SAS,40,29,21,8,20.9,8.8,3.1,7.3,42.5,0.9,3.2,27.2,1.7,2.0,86.0,0.3,2.0,2.3,2.4,1.8,0.7,0.3,1.9,16.4,0,0,2.5,0.7,0.8,3.9,7.5,5.1,4.9,18.0,0.3,2.0,107.8,103.7,4.1,17.8,1.37,19.5,1.9,10.9,6.5,14.2,48.3,53.6,21.0,97.78,8.0,56.6,43.4,51.2,6.3,29.5,9.1,19.3,18.1,44.9,47.7,52.3,68.0,32.0,53.3,46.7,7.599999999999998,7
135,Luc Mbah a Moute,PF,HOU,31,24,20,4,25.3,6.8,2.5,5.5,45.8,1.0,2.8,37.3,0.8,1.1,66.7,0.5,2.8,3.4,1.0,1.2,1.3,0.5,1.8,16.3,0,0,6.9,0.8,1.0,2.9,9.5,6.3,5.6,22.6,0.7,1.0,111.1,97.3,13.8,5.3,0.79,11.8,2.6,12.2,7.6,14.9,55.3,57.0,12.4,101.37,6.4,48.9,51.1,42.9,0.0,46.0,15.3,11.0,19.6,42.9,62.9,37.1,96.0,4.0,76.7,23.3,9.5,2
351,Wayne Ellington,SG,MIA,30,34,18,16,23.0,10.1,3.3,7.6,43.2,2.9,6.6,43.3,0.7,0.8,88.9,0.2,2.2,2.5,0.9,0.5,0.6,0.1,1.0,16.2,0,0,1.2,0.6,0.9,0.6,8.3,5.8,3.9,19.8,0.2,0.7,107.2,104.5,2.8,6.6,2.0,10.0,1.2,11.4,6.4,5.0,62.0,63.7,17.0,95.81,9.9,13.5,86.5,8.7,2.3,84.3,8.7,7.0,14.5,6.4,66.7,33.3,95.9,4.1,92.0,8.0,6.1,2
41,Ed Davis,C,POR,28,33,17,16,18.1,5.0,1.9,3.8,50.8,0.0,0.0,0.0,1.1,1.6,66.7,2.5,4.5,7.0,0.4,0.9,0.5,0.6,2.2,16.2,1,0,2.3,2.3,0.3,3.8,5.2,4.1,3.0,15.2,0.4,1.6,103.4,98.7,4.7,2.9,0.39,6.2,15.2,26.2,20.9,16.1,50.8,54.8,13.2,97.15,11.1,100.0,0.0,78.0,1.2,0.0,6.1,22.0,15.9,76.8,45.3,54.7,0.0,0.0,45.3,54.7,11.2,5
203,D.J. Augustin,PG,ORL,30,28,9,19,21.4,8.6,2.6,6.0,43.1,1.3,3.1,40.2,2.3,2.6,86.3,0.2,1.5,1.7,3.1,1.6,0.8,0.0,1.5,16.2,1,0,-2.9,0.3,0.7,2.1,7.8,6.1,6.5,20.9,0.5,2.2,98.4,105.0,-6.6,22.6,1.93,26.3,1.1,7.7,4.3,13.6,53.6,60.8,17.6,102.23,9.4,47.9,52.1,30.6,6.6,43.4,7.9,26.0,21.1,24.0,10.8,89.2,65.7,34.3,37.5,62.5,7.6,0
211,Jameer Nelson,PG,NOP,35,29,16,13,24.4,5.8,2.1,5.1,42.2,1.0,2.7,38.5,0.4,0.6,76.5,0.2,2.4,2.6,4.2,1.6,0.8,0.1,1.8,16.2,0,0,-0.3,0.2,0.4,1.4,9.7,7.0,4.9,21.5,0.2,1.0,107.2,106.7,0.5,23.6,2.65,37.8,1.2,10.6,6.1,14.3,52.4,54.1,12.7,100.33,7.1,46.9,53.1,38.3,14.4,53.9,7.8,7.8,12.6,24.0,31.3,68.8,66.7,33.3,48.4,51.6,10.399999999999999,0
119,Mike Scott,PF,WAS,29,31,17,14,19.0,9.7,4.0,7.0,57.9,1.0,2.3,42.3,0.7,1.0,71.0,0.7,2.9,3.6,0.8,1.2,0.5,0.2,2.0,16.2,0,0,0.6,0.9,0.5,3.6,6.3,5.4,3.9,16.7,0.2,0.9,106.6,103.3,3.2,6.7,0.67,8.3,4.3,17.2,10.8,12.4,64.8,65.8,19.6,99.56,12.0,67.1,32.9,62.9,25.8,29.8,5.3,7.3,15.6,37.1,67.4,32.6,100.0,0.0,75.2,24.8,6.5,3
38,Gorgui Dieng,C,MIN,28,31,19,12,17.9,6.2,2.4,4.9,47.7,0.3,0.9,27.6,1.2,1.6,77.6,1.4,3.4,4.8,1.3,0.9,0.8,0.3,2.0,16.1,1,0,-1.5,1.1,0.4,2.1,6.9,4.2,4.8,16.0,0.4,1.4,106.7,110.0,-3.4,10.4,1.34,16.1,9.1,22.8,15.8,12.0,50.3,55.0,16.4,97.63,9.6,81.0,19.0,67.7,34.4,12.5,6.3,19.8,16.1,33.3,76.9,23.1,100.0,0.0,79.5,20.5,9.900000000000002,1
349,Kyle Korver,SG,CLE,36,34,24,10,22.7,10.3,3.4,7.1,48.1,2.4,5.5,44.6,1.0,1.1,87.2,0.1,1.9,2.0,1.1,0.7,0.4,0.4,1.8,16.0,0,0,7.0,0.7,0.6,1.0,6.5,5.7,4.2,19.2,0.2,1.1,114.8,102.0,12.9,6.8,1.48,11.5,0.8,8.7,5.1,7.8,65.2,67.5,16.4,99.56,8.8,23.5,76.5,19.4,9.7,70.9,5.4,9.7,12.3,9.7,100.0,0.0,95.2,4.8,96.6,3.4,5.699999999999999,3
261,Omri Casspi,SF,GSW,29,30,24,6,16.3,6.9,2.7,4.4,60.9,0.3,0.5,56.3,1.2,1.6,75.0,0.7,3.8,4.5,1.1,0.6,0.3,0.5,1.6,16.0,2,0,2.5,1.0,1.2,4.5,5.4,4.7,4.5,15.1,0.3,1.3,107.6,98.9,8.7,10.1,1.79,16.4,5.2,23.4,15.2,9.2,64.3,67.2,15.7,101.36,13.4,88.0,12.0,69.6,4.8,13.0,17.4,17.4,21.3,64.7,83.3,16.7,100.0,0.0,85.2,14.8,9.1,1
192,Devin Harris,PG,DAL,34,29,10,19,18.5,8.3,2.6,6.4,40.5,0.8,2.6,32.4,2.3,2.7,83.5,0.3,1.7,1.9,2.0,1.1,1.0,0.2,2.5,16.0,0,0,3.9,0.3,1.1,3.4,5.7,4.4,5.5,13.4,0.3,2.8,110.4,100.7,9.6,16.0,1.79,18.9,1.7,9.8,5.9,10.6,47.0,54.6,21.6,97.33,7.8,60.0,40.0,42.5,1.7,30.0,13.8,27.5,17.9,40.8,62.7,37.3,79.2,20.8,68.0,32.0,7.699999999999999,6
30,Amir Johnson,C,PHI,30,31,15,16,15.5,4.8,2.0,3.7,53.0,0.1,0.5,21.4,0.7,1.3,59.0,1.8,3.1,4.9,1.3,1.0,0.7,0.7,2.8,15.9,1,0,-1.9,1.1,0.2,3.7,6.6,3.7,3.6,14.7,0.5,1.2,99.9,104.3,-4.4,11.9,1.32,20.1,12.8,21.1,17.0,15.2,54.3,56.0,14.1,103.95,8.6,87.8,12.2,78.4,1.4,6.1,4.1,15.5,11.5,77.0,67.2,32.8,100.0,0.0,68.9,31.1,11.100000000000001,5
359,Jerryd Bayless,SG,PHI,29,27,12,15,26.2,9.2,3.1,7.7,40.6,1.7,4.6,36.6,1.3,1.6,79.5,0.3,2.0,2.3,1.6,1.3,0.7,0.2,2.6,15.8,0,0,-1.3,1.4,1.0,2.4,10.4,6.5,5.1,23.2,0.6,1.5,103.5,105.2,-1.7,8.5,1.2,13.8,1.2,8.1,4.7,11.5,51.4,54.8,15.6,102.84,5.1,40.6,59.4,31.5,4.8,54.4,10.9,14.1,10.9,26.6,76.9,23.1,100.0,0.0,89.3,10.7,6.600000000000001,2
375,Tony Snell,SG,MIL,26,27,15,12,31.1,8.3,3.0,6.1,49.7,1.6,3.7,44.0,0.6,0.9,69.6,0.1,2.1,2.2,1.6,0.5,0.6,0.4,1.6,15.8,0,0,0.9,0.6,0.9,2.4,9.8,8.6,4.0,27.6,0.2,0.6,109.8,107.4,2.4,6.9,3.31,18.6,0.6,7.9,4.3,5.6,63.0,64.0,10.2,98.61,6.3,39.4,60.6,33.9,5.4,58.9,10.3,7.1,22.3,28.6,65.8,34.2,100.0,0.0,84.1,15.9,7.5,2
281,Jae Crowder,SF,CLE,27,34,24,10,26.0,8.8,3.0,7.3,40.6,1.2,3.8,32.0,1.6,1.8,90.2,0.9,2.2,3.1,1.0,0.9,0.7,0.1,2.3,15.7,0,0,0.1,1.5,0.7,2.8,8.8,6.6,6.1,25.4,0.4,1.5,111.6,111.4,0.2,5.6,1.21,10.3,3.8,9.9,6.9,8.5,48.8,54.0,15.5,98.48,5.0,48.6,51.4,40.3,8.1,41.3,8.1,18.5,21.8,32.2,85.0,15.0,92.7,7.3,88.1,11.9,6.899999999999999,3
19,Al Jefferson,C,IND,33,12,5,7,12.5,6.5,2.8,5.2,54.8,0.0,0.1,0.0,0.8,1.0,83.3,1.0,3.1,4.1,0.9,0.7,0.6,0.6,1.8,15.6,0,0,-1.8,1.2,0.2,4.0,3.5,3.9,2.1,12.3,0.4,0.9,101.8,109.2,-7.4,12.5,1.38,12.7,8.9,28.7,18.6,9.3,54.8,58.0,21.9,101.82,14.8,98.4,1.6,87.2,25.6,0.0,2.6,12.8,10.3,61.5,61.8,38.2,0.0,0.0,61.8,38.2,9.1,5
288,Dillon Brooks,SF,MEM,22,34,10,24,27.9,8.0,3.1,6.8,45.3,0.9,2.5,36.5,0.9,1.1,78.9,0.5,2.4,3.0,1.1,1.2,0.8,0.4,3.3,15.6,0,0,-1.7,0.8,1.4,3.7,8.7,6.3,7.1,22.4,0.5,1.4,101.0,104.4,-3.4,6.6,0.95,11.9,2.2,10.4,6.2,12.5,51.9,54.5,14.3,94.54,4.7,63.4,36.6,54.6,8.1,34.3,17.3,11.1,16.6,46.5,63.5,36.5,100.0,0.0,74.3,25.7,7.6,2
395,CJ Miles,SF,TOR,30,25,17,8,18.3,9.6,3.2,8.1,39.6,2.2,6.0,37.1,1.0,1.1,89.3,0.2,1.6,1.8,0.6,0.5,0.8,0.4,1.8,15.6,0,0,1.3,0.6,0.8,1.5,5.1,5.3,4.7,17.4,0.3,0.9,105.1,103.3,1.8,5.6,1.23,6.6,1.2,9.9,5.4,5.3,53.5,56.2,21.4,100.94,8.3,25.2,74.8,19.9,4.1,69.7,8.3,10.4,14.9,15.8,54.2,45.8,91.1,8.9,80.0,20.0,6.0,2
193,Frank Mason,PG,SAC,23,26,8,18,18.8,7.8,2.7,7.2,38.0,0.7,1.5,42.5,1.7,2.2,77.2,0.5,1.7,2.2,3.0,1.3,0.5,0.2,1.0,15.5,0,0,-0.2,0.7,0.7,2.8,5.5,4.6,3.8,16.8,0.4,1.7,104.9,105.7,-0.8,23.8,2.2,23.8,3.1,10.6,6.8,10.8,42.5,47.9,23.1,95.41,8.5,78.6,21.4,53.2,16.7,25.1,8.4,21.7,16.7,36.5,20.4,79.6,52.9,47.1,28.2,71.8,7.7,4
108,Kenneth Faried,PF,DEN,28,25,13,12,16.0,6.6,2.7,4.8,55.4,0.0,0.0,0.0,1.3,1.8,71.1,2.2,3.0,5.2,0.7,0.8,0.3,0.5,1.7,15.5,3,0,-2.0,1.7,1.2,5.0,7.5,3.7,4.8,17.4,0.2,1.8,105.1,111.4,-6.3,7.0,0.85,9.6,14.9,21.7,18.1,11.2,55.4,58.9,17.2,97.75,11.4,99.2,0.8,80.7,4.8,0.0,18.7,19.3,15.1,75.9,67.2,32.8,0.0,0.0,67.2,32.8,8.9,5
198,Andrew Harrison,PG,MEM,23,28,8,20,20.3,7.2,2.3,6.0,38.9,0.7,2.2,32.8,1.8,2.3,79.7,0.5,1.5,2.0,2.4,1.2,0.7,0.4,2.2,15.4,0,0,-4.0,0.4,0.9,2.8,5.3,4.8,6.3,16.2,0.5,2.5,99.8,110.4,-10.6,20.5,2.03,22.7,2.8,9.4,5.9,11.2,44.9,51.5,18.8,92.94,7.2,63.5,36.5,44.8,6.0,29.9,12.9,25.4,13.4,38.8,15.6,84.4,75.0,25.0,33.8,66.2,8.2,0
201,Frank Ntilikina,PG,NYK,19,30,16,14,20.6,5.8,2.2,6.0,36.7,0.6,1.9,33.9,0.8,1.0,74.2,0.4,1.6,2.1,3.2,1.9,1.3,0.1,2.5,15.4,0,0,-0.2,0.4,0.3,1.2,8.2,6.0,3.4,15.8,0.2,1.2,103.3,103.4,-0.1,23.0,1.68,27.7,2.4,8.9,5.7,16.4,41.9,44.9,17.9,98.12,5.4,68.9,31.1,54.0,33.3,32.8,4.6,13.2,16.7,20.7,23.4,76.6,73.7,26.3,37.9,62.1,9.600000000000001,4
188,Fred VanVleet,PG,TOR,23,32,23,9,17.7,6.0,2.2,5.8,38.2,0.8,2.5,33.3,0.8,0.9,85.7,0.2,1.7,1.9,2.9,0.9,0.9,0.2,1.6,15.1,0,0,3.9,0.5,0.9,2.6,5.2,5.3,3.2,15.9,0.4,1.4,107.3,96.1,11.2,23.7,3.32,29.1,1.4,11.0,6.2,8.8,45.4,48.7,17.7,98.89,9.3,56.5,43.5,45.6,2.1,42.0,15.0,12.4,21.2,43.5,11.4,88.6,74.1,25.9,35.2,64.8,9.1,4
340,Jamal Crawford,SG,MIN,37,34,21,13,18.3,9.9,3.5,8.4,42.1,1.3,3.6,36.1,1.6,1.7,94.7,0.2,0.9,1.0,2.3,1.2,0.5,0.1,1.1,15.1,0,0,-1.7,0.9,0.5,1.8,7.3,4.4,4.7,17.7,0.2,1.6,106.4,111.6,-5.1,20.1,1.93,18.0,1.1,5.8,3.4,9.4,49.8,54.5,25.1,98.68,8.9,57.2,42.8,45.0,26.6,39.1,4.7,16.0,13.3,18.3,28.9,71.1,72.7,27.3,45.0,55.0,5.199999999999999,0
103,Brandan Wright,PF,MEM,30,19,8,11,14.7,5.6,2.3,4.0,57.9,0.0,0.0,0.0,0.9,1.4,66.7,1.1,2.5,3.6,0.3,0.2,0.5,1.1,1.2,14.9,0,0,1.9,1.1,0.9,4.4,3.4,3.8,2.6,10.9,0.3,1.2,102.6,94.9,7.7,3.6,1.5,6.1,8.4,18.7,13.5,4.1,57.9,60.3,14.8,97.7,15.1,100.0,0.0,83.0,3.8,0.0,16.0,17.0,15.1,79.2,81.8,18.2,0.0,0.0,81.8,18.2,9.3,1
42,Aron Baynes,C,BOS,31,37,27,10,18.1,5.9,2.5,5.0,49.2,0.0,0.1,0.0,0.9,1.3,72.9,1.6,3.4,5.0,0.8,1.0,0.3,0.6,2.2,14.9,1,0,3.0,1.5,0.1,3.6,4.7,3.3,2.8,15.2,0.3,1.5,102.7,94.9,7.7,6.9,0.81,11.0,9.7,20.7,15.2,13.5,49.2,52.6,16.3,96.87,8.8,97.3,2.7,83.9,23.0,0.0,0.9,16.1,8.8,60.8,71.4,28.6,0.0,0.0,71.4,28.6,9.0,5
344,Norman Powell,SG,TOR,24,28,19,9,19.5,8.0,3.0,7.0,42.3,1.0,3.2,31.5,1.0,1.2,85.3,0.2,1.8,2.0,1.6,1.4,0.9,0.3,2.2,14.9,0,0,0.7,0.6,1.5,3.7,7.2,5.6,4.8,17.5,0.6,1.1,104.8,103.0,1.8,12.3,1.15,15.5,1.3,10.4,5.9,13.5,49.5,52.9,20.3,100.51,6.4,54.6,45.4,49.3,2.7,37.7,18.8,13.0,22.0,46.6,29.1,70.9,92.9,7.1,50.6,49.4,6.9,6
117,Jonathan Isaac,PF,ORL,20,15,8,7,19.0,5.3,2.0,4.9,40.5,0.3,1.2,27.8,0.9,1.2,77.8,0.8,2.9,3.7,0.7,1.0,0.7,1.0,1.7,14.8,0,0,-2.8,0.9,0.3,2.8,7.6,4.9,4.4,18.4,0.2,1.6,98.2,101.4,-3.3,5.8,0.73,10.2,4.8,16.5,10.9,13.9,43.9,48.2,15.2,101.91,6.8,75.7,24.3,63.3,10.1,19.0,5.1,17.7,19.0,53.2,60.0,40.0,100.0,0.0,66.7,33.3,9.5,3
28,Zaza Pachulia,C,GSW,33,25,19,6,14.3,5.0,2.0,3.6,56.0,0.0,0.0,0.0,0.9,1.2,79.3,1.1,3.7,4.8,1.6,1.3,0.8,0.2,1.7,14.8,0,0,6.4,0.8,0.5,3.8,4.7,3.3,4.6,13.0,0.6,1.2,116.6,96.0,20.7,12.8,1.22,22.3,9.9,26.0,18.8,18.3,56.0,60.2,16.1,105.1,10.6,100.0,0.0,81.6,6.4,0.0,9.6,18.4,12.8,75.2,84.3,15.7,0.0,0.0,84.3,15.7,9.8,5
35,Jarrett Allen,C,BKN,19,24,9,15,16.8,5.5,2.2,4.3,52.0,0.0,0.2,25.0,1.0,1.3,78.1,1.7,2.5,4.1,0.4,0.6,0.5,0.9,1.9,14.7,0,0,-3.5,1.9,0.4,4.3,5.7,5.1,3.0,16.5,0.8,1.0,99.4,108.3,-8.9,4.0,0.67,7.1,10.3,15.6,12.9,10.6,52.5,56.9,13.9,101.22,8.9,96.1,3.9,78.8,1.5,2.3,7.6,18.9,14.4,77.3,73.1,26.9,100.0,0.0,73.6,26.4,9.2,1
106,Skal Labissiere,PF,SAC,21,29,10,19,15.8,7.0,2.8,6.4,43.3,0.1,0.3,40.0,1.3,1.6,80.4,1.2,2.6,3.8,0.7,1.0,0.4,0.6,2.0,14.6,1,0,-2.0,1.4,0.2,3.9,4.8,4.7,3.8,15.2,0.3,1.8,100.1,107.8,-7.7,6.9,0.69,7.8,8.3,18.5,13.2,11.3,44.4,49.0,22.8,97.44,8.1,94.7,5.3,75.9,19.7,5.9,3.4,18.2,7.4,56.2,46.8,53.2,100.0,0.0,49.4,50.6,7.6,1
276,Maurice Harkless,SF,POR,24,27,15,12,22.4,5.6,2.2,5.1,42.8,0.4,1.6,28.6,0.7,1.0,74.1,0.9,2.3,3.1,0.7,0.8,0.7,0.9,1.6,14.6,0,0,-0.7,1.3,0.7,3.4,8.3,5.7,4.3,20.8,0.4,0.9,100.3,101.7,-1.4,4.4,0.86,9.5,4.3,11.1,7.7,11.1,47.1,50.0,12.4,99.38,5.9,69.6,30.4,62.7,1.3,24.0,12.0,13.3,18.7,61.3,72.3,27.7,100.0,0.0,78.0,22.0,9.0,3
394,Nene,C,HOU,35,24,18,6,15.1,7.2,2.8,4.6,60.0,0.0,0.1,0.0,1.7,2.4,70.7,0.9,2.4,3.3,1.0,1.0,0.5,0.4,2.6,14.3,0,0,5.0,0.8,0.5,4.7,5.7,4.0,3.0,11.8,0.4,1.7,115.4,99.2,16.2,10.0,0.96,12.6,7.0,18.0,12.6,13.1,60.0,63.8,18.8,104.91,9.6,98.2,1.8,76.3,11.6,0.0,6.9,23.7,13.9,64.7,87.9,12.1,0.0,0.0,87.9,12.1,7.1000000000000005,5
263,JaKarr Sampson,SF,SAC,24,6,1,5,17.0,5.0,2.2,3.7,59.1,0.3,0.5,66.7,0.3,0.3,100.0,1.3,3.7,5.0,0.3,0.3,0.3,0.7,2.8,14.2,0,0,1.8,1.3,0.0,3.3,5.3,3.0,3.7,13.0,0.0,0.7,104.5,98.1,6.4,2.9,1.0,7.4,9.2,22.4,16.2,7.4,63.6,65.6,11.4,93.57,9.6,86.4,13.6,73.3,6.7,20.0,0.0,6.7,23.3,66.7,63.6,36.4,100.0,0.0,69.2,30.8,9.2,1
18,Montrezl Harrell,C,LAC,23,27,11,16,12.4,7.2,2.9,4.7,60.9,0.0,0.0,0.0,1.4,2.0,70.4,1.2,2.0,3.2,0.8,0.5,0.3,0.5,1.1,14.2,0,0,1.3,1.6,1.0,5.5,3.5,3.4,3.3,9.9,0.3,1.4,108.0,102.6,5.4,10.3,1.5,11.2,11.4,16.9,14.3,7.5,60.9,63.9,22.0,98.47,15.3,100.0,0.0,80.4,4.1,0.0,13.9,19.6,11.9,76.3,60.3,39.7,0.0,0.0,60.3,39.7,6.999999999999999,1
115,Noah Vonleh,PF,POR,22,23,12,11,18.4,4.2,1.7,3.3,52.6,0.0,0.0,0.0,0.7,1.0,73.9,1.5,4.9,6.3,0.5,0.6,0.3,0.5,1.7,14.2,1,0,0.1,1.3,0.0,2.6,6.3,4.1,3.5,15.5,0.3,1.1,101.1,100.7,0.4,4.1,0.86,10.7,9.3,29.0,19.4,12.5,52.6,56.3,10.6,97.93,10.3,100.0,0.0,82.5,20.6,0.0,0.0,17.5,7.2,61.9,55.0,45.0,0.0,0.0,55.0,45.0,10.0,5
118,Maxi Kleber,PF,DAL,25,29,8,21,19.0,6.1,2.5,4.6,54.5,0.6,1.7,32.7,0.6,0.8,70.8,1.2,2.4,3.6,0.6,0.3,0.3,0.8,1.6,14.1,0,0,-1.6,0.8,0.3,3.4,4.9,4.1,6.4,16.4,0.1,1.0,101.3,104.5,-3.2,4.9,1.7,10.0,6.5,15.2,10.5,5.9,60.6,62.1,12.9,95.54,8.7,62.9,37.1,63.3,6.8,27.1,4.5,9.6,11.3,56.5,73.2,26.8,100.0,0.0,79.2,20.8,8.0,1
279,Doug McDermott,SF,NYK,26,33,17,16,24.0,8.5,3.3,6.9,48.2,1.2,2.8,42.9,0.6,0.8,74.1,0.6,2.0,2.6,1.0,0.6,0.2,0.3,1.6,14.1,0,0,-0.6,1.4,0.4,3.4,9.7,7.1,4.2,19.2,0.4,0.9,102.2,104.2,-2.0,6.2,1.57,11.2,3.1,9.3,6.3,7.1,56.8,58.2,14.4,98.79,7.5,60.1,39.9,50.9,10.8,41.9,4.3,7.2,17.6,40.1,83.1,16.9,100.0,0.0,89.1,10.9,5.6,3
114,Jonas Jerebko,PF,UTA,30,30,12,18,17.8,6.6,2.4,5.1,47.7,1.0,2.4,43.7,0.7,0.8,91.3,1.1,2.8,3.9,0.7,0.4,0.5,0.2,2.1,14.0,0,0,1.1,1.3,0.8,2.7,5.4,4.3,2.9,15.3,0.3,0.9,109.2,106.1,3.1,6.3,1.69,11.1,6.5,19.0,12.4,6.6,57.8,60.7,14.9,95.95,9.2,53.6,46.4,42.4,2.0,47.0,12.6,10.6,21.2,40.4,57.1,42.9,100.0,0.0,75.3,24.7,7.4,3
397,James Ennis III,SF,MEM,27,32,9,23,23.6,6.9,2.4,4.8,50.6,0.6,1.9,32.8,1.4,1.5,89.8,1.2,2.3,3.5,1.1,0.9,0.6,0.2,1.8,14.0,1,0,-2.3,1.5,2.0,3.2,7.2,5.9,6.2,20.8,0.2,1.3,100.5,104.8,-4.3,7.4,1.13,14.2,6.0,11.7,8.8,12.5,57.1,62.7,12.5,95.57,8.1,60.4,39.6,52.7,6.4,27.3,29.5,20.0,31.8,46.4,65.5,34.5,100.0,0.0,74.4,25.6,7.1,2
278,Dante Cunningham,SF,NOP,30,32,17,15,23.1,5.6,2.1,5.0,42.8,0.8,2.5,33.3,0.5,0.8,57.7,1.1,3.1,4.2,0.7,0.3,0.5,0.3,1.8,13.8,0,0,0.7,1.2,0.6,2.4,8.8,5.8,6.8,21.6,0.3,0.8,107.9,104.3,3.6,3.7,2.33,10.5,5.1,14.3,9.8,4.5,51.3,52.2,10.5,102.87,5.7,49.1,50.9,46.1,3.4,45.5,11.2,8.4,16.3,42.7,87.8,12.2,96.3,3.7,91.2,8.8,8.200000000000001,3
32,Ekpe Udoh,C,UTA,30,32,15,17,15.9,2.8,1.0,2.1,47.1,0.0,0.0,0.0,0.8,1.1,75.0,1.2,1.5,2.6,1.2,0.4,0.7,1.3,2.2,13.6,0,0,2.3,0.6,0.4,2.0,4.8,3.6,2.3,14.3,0.2,1.2,108.0,100.5,7.5,10.3,2.92,28.2,8.4,11.8,10.0,9.6,47.1,54.3,8.8,97.03,6.1,100.0,0.0,70.3,0.0,0.0,14.3,29.7,17.6,70.3,81.3,18.8,0.0,0.0,81.3,18.8,10.8,1
185,Michael Carter-Williams,PG,CHA,26,22,7,15,16.6,4.5,1.2,4.4,26.8,0.3,1.0,27.3,1.8,2.3,80.0,0.7,2.1,2.9,2.4,1.4,0.7,0.4,2.2,13.6,0,0,-3.5,0.3,0.2,1.5,4.6,3.0,3.6,14.9,0.3,2.5,97.3,106.0,-8.7,23.6,1.77,26.2,4.4,15.5,9.5,14.9,29.9,41.2,17.7,99.63,5.5,77.3,22.7,40.8,6.1,18.4,4.1,40.8,15.3,34.7,35.0,65.0,100.0,0.0,50.0,50.0,9.1,7
183,Raymond Felton,PG,OKC,33,34,19,15,16.4,6.6,2.7,6.5,42.3,0.8,2.2,36.8,0.3,0.5,68.8,0.2,1.4,1.6,2.3,0.8,0.6,0.1,1.0,13.5,0,0,-1.4,0.1,0.3,2.2,4.3,4.5,2.8,13.1,0.3,0.8,99.0,103.7,-4.7,25.5,3.04,23.8,1.6,10.5,5.7,7.8,48.6,49.6,20.7,95.45,10.8,65.5,34.5,57.8,24.9,37.3,4.0,4.9,13.3,32.9,9.2,90.8,75.0,25.0,29.0,71.0,6.9,4
189,Shelvin Mack,PG,ORL,27,26,8,18,18.0,4.1,1.4,4.1,34.9,0.4,1.2,31.3,0.8,1.3,66.7,0.3,1.8,2.1,3.9,1.0,0.5,0.1,1.0,13.4,0,0,-1.2,0.3,0.3,1.7,6.7,5.2,4.1,16.5,0.3,1.1,102.0,105.6,-3.6,30.5,3.78,40.9,1.9,10.8,6.4,10.8,39.6,44.0,13.9,100.08,8.2,69.8,30.2,50.9,9.4,28.3,8.5,20.8,12.3,41.5,18.5,81.5,80.0,20.0,35.1,64.9,9.3,4
120,Anthony Tolliver,PF,DET,32,30,17,13,19.6,7.4,2.3,5.4,42.6,1.7,4.4,39.4,1.1,1.4,78.0,0.6,2.0,2.6,1.1,0.9,0.4,0.3,1.7,13.3,0,0,0.9,0.7,0.7,0.9,5.4,3.4,2.7,14.9,0.2,1.3,104.1,101.4,2.7,8.3,1.23,13.4,3.4,12.0,7.5,10.9,58.6,61.7,15.6,96.76,7.9,18.5,81.5,15.3,2.7,70.3,9.0,14.4,20.3,12.6,70.6,29.4,100.0,0.0,92.8,7.2,5.9,3
178,Isaiah Whitehead,PG,BKN,22,10,2,8,14.2,7.6,3.0,6.3,47.6,0.5,1.2,41.7,1.1,1.7,64.7,0.3,1.7,2.0,1.8,2.2,0.7,0.2,1.6,13.2,0,0,-1.3,0.9,0.7,4.6,7.4,2.4,2.7,15.0,0.5,1.2,95.6,102.3,-6.6,25.4,0.82,16.3,2.2,12.0,7.2,19.9,51.6,53.9,27.7,101.55,9.1,81.0,19.0,65.8,5.3,19.7,9.2,14.5,3.9,60.5,16.0,84.0,40.0,60.0,20.0,80.0,5.6,4
24,Daniel Theis,C,BOS,25,35,26,9,13.2,4.7,1.7,3.5,50.4,0.1,0.7,19.2,1.1,1.3,78.7,1.3,2.9,4.2,0.6,1.0,0.5,0.7,2.4,13.2,2,0,-0.7,1.2,0.1,2.6,4.4,3.1,3.3,11.3,0.4,1.5,102.4,102.4,0.1,7.8,0.58,10.6,10.5,24.4,17.4,18.1,52.5,57.9,17.5,96.8,9.8,78.5,21.5,68.3,12.2,9.1,2.4,22.6,9.1,56.1,76.8,23.2,100.0,0.0,78.7,21.3,8.5,5
